Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Hit/Run,Route Type,Lane Direction,Lane Type,Number of Lanes,Direction,Distance,Distance Unit,Road Grade,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,At Fault,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,First Harmful Event,Second Harmful Event,Junction,Intersection Type,Road Alignment,Road Condition,Road Division,Latitude,Longitude,Location
MCP1020003M,180044050,Montgomery County Police,Injury Crash,09/04/2018 08:06:00 AM,No,,,,,,,,,,,DRIVEWAY TO 19910 FREDERICK ROAD,,PEDESTRIAN,NONMOTORIST,OTHER,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,PEDESTRIAN,N/A,,,,,,39.1831895,-77.23926717,"(39.1831895, -77.23926717)"
MCP2728002M,16037201,Montgomery County Police,Property Damage Crash,07/22/2016 07:35:00 PM,Yes,County,South,,1,North,0,MILE,LEVEL,COTTRELL TERR,CAHART PL,,N/A,,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,"NONE DETECTED, UNKNOWN",,PARKED VEHICLE,N/A,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.01542667,-76.97838333,"(39.01542667, -76.97838333)"
MCP0113001K,170519528,Montgomery County Police,Property Damage Crash,07/17/2017 11:30:00 AM,No,Maryland (State),West,,2,West,40,FEET,HILL UPHILL,CAPITOL VIEW AVE,BEECHBANK RD,,N/A,,DRIVER,OPPOSITE DIR BOTH LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,N/A,NON INTERSECTION,N/A,CURVE LEFT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.01725833,-77.05827333,"(39.01725833, -77.05827333)"
MCP15190034,200024681,Montgomery County Police,Injury Crash,06/24/2020 01:20:00 PM,No,Maryland (State),South,,2,North,0,FEET,LEVEL,GERMANTOWN RD,CLOPPER RD,,N/A,,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.16288167,-77.28308,"(39.16288167, -77.28308)"
EJ78860016,220009723,Gaithersburg Police Depar,Property Damage Crash,03/06/2022 09:54:00 PM,Yes,Municipality,East,N/A,1,North,250,FEET,LEVEL,CEDAR AVE,HARMONY HALL RD,,GAITHERSBURG,,DRIVER,SAME DIRECTION SIDESWIPE,RAINING,WET,DARK LIGHTS ON,N/A,UNKNOWN,,PARKED VEHICLE,PARKED VEHICLE,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.13584535,-77.20102645,"(39.13584535, -77.20102645)"
MCP137800FZ,17010969,Montgomery County Police,Injury Crash,03/01/2017 06:42:00 PM,No,Maryland (State),South,,1,South,0,FEET,LEVEL,FREDERICK RD,ENT TO BUSINESS,,N/A,,DRIVER,SAME DIR REAR END,N/A,DRY,DARK LIGHTS ON,YIELD SIGN,NONE DETECTED,,OTHER VEHICLE,N/A,COMMERCIAL DRIVEWAY,Y-INTERSECTION,CURVE RIGHT,NO DEFECTS,ONE-WAY TRAFFICWAY,39.151185,-77.21065167,"(39.151185, -77.21065167)"
MCP2766003L,180014454,Montgomery County Police,Injury Crash,03/23/2018 09:09:00 AM,No,Maryland (State),North,,3,North,0,FEET,LEVEL,GEORGIA AVE,GLENALLAN AVE,,N/A,,DRIVER,ANGLE MEETS RIGHT TURN,N/A,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.063435,-77.05507,"(39.063435, -77.05507)"
MCP23990040,200039566,Montgomery County Police,Injury Crash,10/07/2020 09:00:00 PM,No,County,South,,2,North,0,FEET,LEVEL,MONTGOMERY VILLAGE AVE,APPLE RIDGE RD,,N/A,,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.18682547,-77.19840225,"(39.18682547, -77.19840225)"
MCP32890027,230008639,Montgomery County Police,Property Damage Crash,02/21/2023 08:31:00 AM,No,US (State),North,,7,North,0,FEET,LEVEL,GEORGIA AVE,KING ST,,N/A,,DRIVER,STRAIGHT MOVEMENT ANGLE,N/A,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,FIXED OBJECT,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.986735,-77.026765,"(38.986735, -77.026765)"
MCP3352001C,230069660,Montgomery County Police,Property Damage Crash,12/03/2023 05:33:00 PM,No,Maryland (State),West,,1,East,100,FEET,HILL UPHILL,CLOPPER RD,GAME PRESERVE RD,,N/A,,DRIVER,SAME DIR REAR END,CLOUDY,WET,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,N/A,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.149425,-77.24189333,"(39.149425, -77.24189333)"
MCP2995003Q,180059138,Montgomery County Police,Property Damage Crash,11/26/2018 10:20:00 AM,Yes,,,,,,,,,,,"MCDONALD'S AT 13701 CONNECTICUT AVE. SILVER SPRING, MD 20906",,,DRIVER,SAME DIRECTION SIDESWIPE,RAINING,,DAYLIGHT,NO CONTROLS,UNKNOWN,,PARKED VEHICLE,N/A,,,,,,39.07871654,-77.08019614,"(39.07871654, -77.08019614)"
MCP9417000L,15016784,Montgomery County Police,Property Damage Crash,04/11/2015 01:50:00 PM,No,Maryland (State),South,,3,North,0,FEET,LEVEL,ROCKVILLE PIKE,GROSVENOR LA,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,N/A,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.02191,-77.102875,"(39.02191, -77.102875)"
MCP30440063,220051971,Montgomery County Police,Injury Crash,11/24/2022 02:14:00 PM,No,County,East,,1,South,200,FEET,LEVEL,FAIRDALE RD,FRIENDLYWOOD RD,,N/A,,DRIVER,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,PARKED VEHICLE,N/A,OTHER,OTHER,OTHER,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.09408722,-76.95465178,"(39.09408722, -76.95465178)"
MCP31820026,230007013,Montgomery County Police,Property Damage Crash,02/11/2023 04:53:00 PM,No,Maryland (State),West,LEFT TURN LANE,2,East,50,FEET,LEVEL,OLD COLUMBIA PIKE,BURTONSVILLE SCH ACCESS RD,,N/A,,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,N/A,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.10842631,-76.93657893,"(39.10842631, -76.93657893)"
MCP23530035,16058498,Montgomery County Police,Property Damage Crash,11/15/2016 08:51:00 AM,No,Maryland (State),South,,3,North,0,FEET,LEVEL,OLD GEORGETOWN RD,TUCKERMAN LA,,N/A,,DRIVER,SAME DIR REAR END,CLOUDY,WET,DAYLIGHT,TRAFFIC SIGNAL,"N/A, NONE DETECTED",,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.03519167,-77.12559667,"(39.03519167, -77.12559667)"
MCP3112004W,200045743,Montgomery County Police,Property Damage Crash,11/19/2020 05:00:00 PM,No,County,South,,4,South,0,FEET,LEVEL,WOODMONT AVE,RUGBY AVE,,N/A,,DRIVER,SAME DIRECTION RIGHT TURN,CLEAR,DRY,DARK NO LIGHTS,N/A,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.99129033,-77.09664733,"(38.99129033, -77.09664733)"
MCP3048008T,220048611,Montgomery County Police,Property Damage Crash,11/04/2022 11:51:00 AM,No,County,East,,1,East,0,FEET,LEVEL,ANTHONY ST,VOGEL PL,,N/A,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,N/A,,FIXED OBJECT,N/A,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.02666367,-77.0828355,"(39.02666367, -77.0828355)"
MCP00360042,16023184,Montgomery County Police,Property Damage Crash,05/10/2016 02:33:00 PM,No,Maryland (State),North,,1,North,500,FEET,LEVEL,RIDGE RD,WOODFIELD RD EXT,,N/A,,DRIVER,SAME DIR REAR END,RAINING,WET,DAYLIGHT,N/A,NONE DETECTED,,OTHER VEHICLE,N/A,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.29881,-77.201785,"(39.29881, -77.201785)"
MCP2874001C,16021913,Montgomery County Police,Property Damage Crash,05/03/2016 07:20:00 PM,Yes,,,,,,0,,,,,"IN PARKING LOT OF 11403 AMHERST AVE, SILVER SPRING, MD 20902",,,DRIVER,OTHER,RAINING,,DAYLIGHT,N/A,"NONE DETECTED, UNKNOWN",,PARKED VEHICLE,N/A,,,,,,39.04170292,-77.04805255,"(39.04170292, -77.04805255)"
MCP32840027,240038650,MONTGOMERY,Property Damage Crash,08/15/2024 11:44:00 PM,Yes,County Route,Eastbound,Off Road,4,North,23.95,FEET,Level,CHERRY HILL RD,GRACEFIELD RD,,,,UNKNOWN,Single Vehicle,Clear,Dry,Dark - Lighted,No Controls,,,Curb,Tree (standing),Non-Junction,,Straight,No Defects,Not Divided,39.04984627,-76.95252533,"(39.04984627, -76.95252533)"
EJ78330059,190025920,Gaithersburg Police Depar,Property Damage Crash,05/31/2019 08:55:00 AM,No,Interstate (State),East,ON RAMP,3,South,0,FEET,LEVEL,EISENHOWER MEMORIAL HWY,EXIT #10,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,INTERCHANGE RELATED,OTHER,CURVE RIGHT,NO DEFECTS,ONE-WAY TRAFFICWAY,39.14051833,-77.211825,"(39.14051833, -77.211825)"
MCP2260000S,15044622,MONTGOMERY,Property Damage Crash,09/04/2015 05:08:00 PM,No,Maryland (State),North,,3,North,0,FEET,LEVEL,FREDERICK RD,REDLAND BLVD,,ROCKVILLE,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,N/A,,OTHER VEHICLE,OTHER VEHICLE,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.10663667,-77.15868333,"(39.10663667, -77.15868333)"
MCP22030070,230027830,Montgomery County Police,Property Damage Crash,06/09/2023 05:00:00 PM,Yes,Maryland (State),North,RIGHT TURN LANE,4,North,2,FEET,LEVEL,ROCKVILLE PIKE,TWINBROOK PKWY,,ROCKVILLE,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,,OTHER VEHICLE,N/A,NON INTERSECTION,N/A,CURVE RIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.05869382,-77.12092419,"(39.05869382, -77.12092419)"
MCP3134000Q,180056525,Montgomery County Police,Property Damage Crash,11/10/2018 07:52:00 PM,Yes,,,,,,,,,,,PARKING LOT OF 11311 LOCKWOOD DRIVE,,,DRIVER,SAME DIR REAR END,N/A,,DARK LIGHTS ON,N/A,N/A,,OTHER VEHICLE,N/A,,,,,,39.04055833,-76.98900667,"(39.04055833, -76.98900667)"
MCP1575002Y,15045708,MONTGOMERY,Injury Crash,09/10/2015 09:29:00 AM,No,Maryland (State),North,LEFT TURN LANE,2,South,300,FEET,LEVEL,FALLS RD,EISENHOWER MEMORIAL HWY,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION RELATED,OTHER,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.07301833,-77.16537,"(39.07301833, -77.16537)"
MCP2678002F,200029801,Montgomery County Police,Property Damage Crash,08/01/2020 01:17:00 AM,No,County,West,,1,West,0,FEET,HILL UPHILL,NOTLEY RD,BONIFANT RD,,N/A,,DRIVER,SINGLE VEHICLE,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,FIXED OBJECT,N/A,INTERSECTION,T-INTERSECTION,STRAIGHT,N/A,"TWO-WAY, NOT DIVIDED",39.09287333,-77.01477833,"(39.09287333, -77.01477833)"
MCP3134003F,220018667,Montgomery County Police,Property Damage Crash,05/02/2022 04:14:00 PM,Yes,County,West,,4,East,0,FEET,LEVEL,ADELPHI RD,NEW HAMPSHIRE AVE,,N/A,,DRIVER,SAME DIRECTION RIGHT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,"N/A, UNKNOWN",,OTHER VEHICLE,N/A,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.0114437,-76.97869592,"(39.0114437, -76.97869592)"
MCP2612004P,220051692,Montgomery County Police,Property Damage Crash,11/22/2022 03:11:00 PM,Yes,,,,,,,,,,,"PARKING LOT OF 2271 BEL PRE ROAD SILVER SPRING, MD",,,DRIVER,OTHER,CLEAR,,DAYLIGHT,N/A,UNKNOWN,,PARKED VEHICLE,N/A,,,,,,39.09141631,-77.04762997,"(39.09141631, -77.04762997)"
MCP2637004M,220026534,Montgomery County Police,Injury Crash,06/20/2022 09:23:00 AM,No,Maryland (State),East,,2,West,0.25,MILE,LEVEL,DARNESTOWN RD,SENECA RD,,N/A,,DRIVER,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,N/A,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.10451167,-77.29379833,"(39.10451167, -77.29379833)"
MCP3138006C,240011459,MONTGOMERY,Injury Crash,03/09/2024 05:37:00 PM,No,Maryland (State) Route,Southbound,Lane 1,2,East,22.27,FEET,Hillcrest,LAYHILL RD,,,,,UNKNOWN,Front to Front,Rain,Wet,Dusk,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,Motor Vehicle In Transport,Through Roadway,,Straight,,Not Divided,39.10629067,-77.0381155,"(39.10629067, -77.0381155)"
MCP22860052,230027428,Montgomery County Police,Injury Crash,06/07/2023 07:34:00 PM,No,County,West,,2,East,0.25,MILE,GRADE DOWNHILL,E GUDE DR,CALHOUN DR,,N/A,,DRIVER,OPPOSITE DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,N/A,"ALCOHOL PRESENT, NONE DETECTED",,FIXED OBJECT,OTHER VEHICLE,N/A,N/A,CURVE LEFT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.10557932,-77.14489113,"(39.10557932, -77.14489113)"
MCP209400LP,230014206,Montgomery County Police,Property Damage Crash,03/24/2023 09:12:00 AM,No,Interstate (State),North,,3,North,300,FEET,GRADE DOWNHILL,EISENHOWER MEMORIAL HWY,ROCKLEDGE BLVD,,N/A,,DRIVER,SAME DIR REAR END,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,FIXED OBJECT,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.03253833,-77.13620333,"(39.03253833, -77.13620333)"
MCP1212002F,210006159,Montgomery County Police,Property Damage Crash,02/17/2021 07:01:00 AM,No,,,,,,,,,,,PARKING LOT OF 23924 FREDERICK RD,,,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,PARKED VEHICLE,N/A,,,,,,39.24936833,-77.297615,"(39.24936833, -77.297615)"
MCP9133000V,16036917,Montgomery County Police,Property Damage Crash,07/20/2016 06:00:00 PM,Yes,,,,,,0,,,,,PARKING LOT OF 19627 CRYSTAL ROCK DR,,,DRIVER,OTHER,CLEAR,,DARK LIGHTS ON,N/A,UNKNOWN,,FIXED OBJECT,PARKED VEHICLE,,,,,,39.17831667,-77.25881,"(39.17831667, -77.25881)"
MCP28350031,230010478,Montgomery County Police,Property Damage Crash,03/02/2023 11:43:00 PM,No,County,East,,1,South,100,FEET,LEVEL,LYTTONSVILLE RD,LYTTONSVILLE PL,,N/A,,DRIVER,SAME DIRECTION SIDESWIPE,N/A,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",38.99678667,-77.051605,"(38.99678667, -77.051605)"
MCP3130006R,230058648,Montgomery County Police,Property Damage Crash,10/05/2023 07:50:00 AM,No,County,West,,1,North,0,FEET,LEVEL,HATHAWAY DR,WELLER RD,,N/A,,DRIVER,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DUSK,STOP SIGN,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.07145983,-77.05577367,"(39.07145983, -77.05577367)"
DM8497001V,230050833,Takoma Park Police Depart,Property Damage Crash,08/23/2023 04:21:00 AM,Yes,,,,,,,,,,,"DRIVEWAY AT 7511 JACKSON AVENUE TAKOMA PARK, MARYLAND.",,,DRIVER,OTHER,CLEAR,,DARK NO LIGHTS,N/A,N/A,,PARKED VEHICLE,N/A,,,,,,38.98114938,-76.9996547,"(38.98114938, -76.9996547)"
MCP1151004W,16029967,Montgomery County Police,Injury Crash,06/14/2016 10:31:00 AM,No,County,South,,3,South,25,FEET,LEVEL,RIDGE RD,RAMP 2 FR RIDGE RD WB TO IS 270 NB,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,FIXED OBJECT,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.19972,-77.25980167,"(39.19972, -77.25980167)"
EJ7887002L,230032327,Gaithersburg Police Depar,Property Damage Crash,07/07/2023 08:00:00 AM,No,Municipality,West,,2,West,0,FEET,LEVEL,TEACHERS WAY,GIRARD ST,,GAITHERSBURG,,DRIVER,OPPOSITE DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,INTERSECTION,OTHER,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.14304457,-77.19177077,"(39.14304457, -77.19177077)"
DM85240014,250032938,TAKOMA,Property Damage Crash,07/23/2025 11:21:00 PM,,Maryland (State) Route,Southbound,Lane 2,2,South,0,FEET,Level,NEW HAMPSHIRE AVE (SB/L),,,,,UNKNOWN,Front to Rear,Clear,Dry,Dark - Lighted,Intersection Ahead Warning Sign,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Unknown, Unknown",,Motor Vehicle In Transport,,Intersection or Related,Perpendicular,Straight,No Defects,"Divided, Flush Median (greater than 4ft wide), Divided, Raised Median (curbed)",38.97555167,-76.99409182,"(38.97555167, -76.99409182)"
MCP33480034,240033625,MONTGOMERY,Property Damage Crash,07/16/2024 06:41:00 PM,No,County Route,Eastbound,Shoulder Area,2,South,19.3,FEET,Level,,,,,,DRIVER,"Sideswipe, Same Direction",Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Parked Vehicle,,Non-Junction,,Straight,No Defects,Not Divided,39.09061933,-77.09860959,"(39.09061933, -77.09860959)"
MCP31930053,230067486,Montgomery County Police,Property Damage Crash,11/17/2023 10:22:00 PM,Yes,Maryland (State),South,,3,North,0,FEET,LEVEL,GEORGIA AVE,WINDHAM LA,,N/A,,DRIVER,SAME DIR REAR END,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,"NONE DETECTED, UNKNOWN",,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.03174684,-77.04829444,"(39.03174684, -77.04829444)"
DD5606002H,15047582,ROCKVILLE,Injury Crash,09/19/2015 07:54:00 PM,No,Maryland (State),East,,2,North,0,FEET,LEVEL,FREDERICK RD,KING FARM BLVD,,ROCKVILLE,,DRIVER,SINGLE VEHICLE,CLEAR,N/A,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,FIXED OBJECT,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.11721333,-77.16865167,"(39.11721333, -77.16865167)"
MCP3195003X,220033659,Montgomery County Police,Property Damage Crash,08/05/2022 03:48:00 PM,No,US (State),South,ON RAMP,2,North,500,FEET,HILL UPHILL,COLUMBIA PIKE,NEW HAMPSHIRE AVE,,N/A,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,OFF ROAD,INTERCHANGE RELATED,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.04530233,-76.98935433,"(39.04530233, -76.98935433)"
MCP29300025,220019483,Montgomery County Police,Property Damage Crash,05/07/2022 09:51:00 PM,No,County,North,,1,North,375,FEET,LEVEL,OLD BALTIMORE RD,COVERED WAGON WAY,,N/A,,UNKNOWN,SINGLE VEHICLE,RAINING,WET,DARK NO LIGHTS,N/A,NONE DETECTED,,OTHER OBJECT,N/A,NON INTERSECTION,N/A,CURVE LEFT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.13735833,-77.06426,"(39.13735833, -77.06426)"
MCP1505000K,15042544,MONTGOMERY,Property Damage Crash,08/25/2015 05:43:00 AM,No,Maryland (State),South,,2,North,0,FEET,LEVEL,DAMASCUS RD,LAYTONSVILLE RD,,N/A,,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAWN,STOP SIGN,"N/A, NONE DETECTED",,OTHER VEHICLE,N/A,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.2549,-77.14370333,"(39.2549, -77.14370333)"
DD5614004B,190021432,Rockville Police Departme,Injury Crash,05/07/2019 05:43:00 AM,No,Maryland (State),West,,2,East,100,FEET,LEVEL,FIRST ST,MAPLE AVE,,ROCKVILLE,,UNKNOWN,SINGLE VEHICLE,CLEAR,DRY,DAWN,NO CONTROLS,NONE DETECTED,,ANIMAL,OTHER,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.08288967,-77.13694417,"(39.08288967, -77.13694417)"
MCP27850028,17002220,Montgomery County Police,Injury Crash,01/13/2017 12:14:00 PM,No,Maryland (State),West,,1,East,0,FEET,HILL UPHILL,INTERCOUNTY CONNECTOR,RAMP 2 FR MD 200 WB TO BRIGGS CHANEY RD,,N/A,PEDESTRIAN,DRIVER,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,N/A,N/A,PEDESTRIAN,N/A,INTERSECTION,T-INTERSECTION,CURVE RIGHT,NO DEFECTS,ONE-WAY TRAFFICWAY,39.07437721,-76.93990588,"(39.07437721, -76.93990588)"
MCP31620046,220028751,Montgomery County Police,Injury Crash,07/05/2022 07:15:00 AM,No,US (State),South,,4,North,0,FEET,LEVEL,COLESVILLE RD,DALE DR,,N/A,,DRIVER,SAME DIRECTION SIDESWIPE,N/A,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.00525833,-77.02297333,"(39.00525833, -77.02297333)"
MCP3230004J,230033597,Montgomery County Police,Injury Crash,07/14/2023 04:50:00 PM,No,County,South,,1,South,10,FEET,LEVEL,ASPEN HILL RD,PARKLAND DR,,N/A,OTHER,UNKNOWN,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,PEDESTRIAN,N/A,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.07909683,-77.08717517,"(39.07909683, -77.08717517)"
MCP2799004F,180039249,Montgomery County Police,Injury Crash,08/07/2018 07:35:00 PM,No,County,East,,2,North,0,FEET,LEVEL,APPOMATTOX AVE,SPARTAN RD,,N/A,,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,PARKED VEHICLE,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.15365,-77.06096167,"(39.15365, -77.06096167)"
EJ7875005Y,250002242,GAITHERSBURG,Property Damage Crash,01/16/2025 08:03:00 PM,,County Route,Westbound,Lane 2,5,South,54.23,FEET,Level,FIELDS RD,,,,,DRIVER,Front to Rear,Clear,Dry,Dark - Lighted,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Non-Junction,,Straight,No Defects,"Divided, Raised Median (curbed)",39.1164731,-77.20813035,"(39.1164731, -77.20813035)"
MCP2931000G,15026952,Montgomery County Police,Injury Crash,06/03/2015 10:34:00 PM,No,County,West,,2,North,75,FEET,LEVEL,SHADY GROVE RD,TRAVILLE  GATEWAY DR,,N/A,,DRIVER,SINGLE VEHICLE,CLEAR,WET,DARK -- UNKNOWN LIGHTING,N/A,ALCOHOL CONTRIBUTED,,FIXED OBJECT,N/A,NON INTERSECTION,N/A,CURVE RIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.05254167,-77.11778,"(39.05254167, -77.11778)"
